user-id,user-age,user-gender,user-nationality,user-knowledge,user-loyalty,user-loan,user-income,user-savings,user-properties,user-riskAversion,user-marital,user-dependents,user-pension,product-type,product-risk,product-term,product-yield,transaction-id,year,month
ID500,41,female,local,low,sporadic,no,10822,132392,0,high,married,0,483040,bond,medium,30,medium,T5000,2019,9
ID500,41,female,local,low,sporadic,no,10822,132392,0,high,married,0,483040,stock,high,10,high,T5001,2019,10
ID500,41,female,local,low,sporadic,no,10822,132392,0,high,married,0,483040,etf,high,10,high,T5002,2019,9
ID500,41,female,local,low,sporadic,no,10822,132392,0,high,married,0,483040,etf,low,20,low,T5003,2017,12
ID501,25,male,local,low,new,no,5284,51806,0,low,single,5,113300,etf,low,1,low,T5004,2019,10
ID501,25,male,local,low,new,no,5284,51806,0,low,single,5,113300,etf,medium,20,medium,T5005,2018,8
ID501,25,male,local,low,new,no,5284,51806,0,low,single,5,113300,stock,high,5,high,T5006,2017,2
ID501,25,male,local,low,new,no,5284,51806,0,low,single,5,113300,bond,medium,20,medium,T5007,2018,4
ID501,25,male,local,low,new,no,5284,51806,0,low,single,5,113300,etf,low,1,low,T5008,2018,4
ID503,26,male,local,low,new,no,5375,35494,0,low,single,6,203225,etf,low,10,low,T5014,2015,5
ID503,26,male,local,low,new,no,5375,35494,0,low,single,6,203225,etf,medium,5,medium,T5015,2016,2
ID505,47,male,local,high,new,yes,13622,52221,4,high,married,4,4432688,etf,high,5,high,T5016,2018,2
ID506,27,male,foreign,low,long-term,no,5072,46566,2,low,single,1,595266,stock,medium,5,medium,T5017,2018,1
ID507,52,male,foreign,low,new,no,15487,110118,0,high,divorced,0,6707222,bond,low,10,low,T5018,2015,7
ID507,52,male,foreign,low,new,no,15487,110118,0,high,divorced,0,6707222,bond,medium,1,medium,T5019,2015,4
ID508,34,male,foreign,medium,new,no,7923,75581,1,low,married,3,965484,etf,medium,5,medium,T5020,2019,7
ID508,34,male,foreign,medium,new,no,7923,75581,1,low,married,3,965484,etf,high,5,high,T5021,2016,9
ID508,34,male,foreign,medium,new,no,7923,75581,1,low,married,3,965484,bond,medium,5,medium,T5022,2018,8
ID508,34,male,foreign,medium,new,no,7923,75581,1,low,married,3,965484,etf,high,10,high,T5023,2016,2
ID508,34,male,foreign,medium,new,no,7923,75581,1,low,married,3,965484,stock,high,1,high,T5024,2019,10
ID509,33,female,local,high,new,no,8070,126191,2,low,married,0,208548,etf,high,30,high,T5025,2016,3
ID510,30,female,local,low,new,no,6898,68755,1,low,single,2,533160,etf,low,1,low,T5026,2019,3
ID511,49,female,local,low,new,no,13912,136739,4,high,married,3,9951704,bond,low,10,low,T5027,2015,12
ID511,49,female,local,low,new,no,13912,136739,4,high,married,3,9951704,etf,medium,1,medium,T5028,2019,10
ID514,41,male,local,low,sporadic,yes,10936,112662,6,high,married,0,1669320,stock,low,5,low,T5031,2016,7
ID514,41,male,local,low,sporadic,yes,10936,112662,6,high,married,0,1669320,etf,high,5,high,T5032,2018,9
ID515,27,male,local,low,sporadic,no,6207,50510,0,low,married,6,271164,stock,medium,5,medium,T5033,2018,7
